Date,Open,High,Low,Close,Volume
14/06/17,0.592347026,0.606195986,0.495745003,0.528916001,14194900
15/06/17,0.528284013,0.543165028,0.300365001,0.363660991,10300400
16/06/17,0.353285015,0.448249012,0.309852004,0.410757005,6920690
17/06/17,0.426762015,0.444204986,0.414139003,0.41990599,3100660
18/06/17,0.420596987,0.426068991,0.393790007,0.405862004,2514450
19/06/17,0.405456007,0.42098999,0.388231009,0.412182987,3543640
20/06/17,0.414299011,0.422031999,0.398649007,0.418493986,3755470
21/06/17,0.419438988,0.437339991,0.405036986,0.413547009,3999810
22/06/17,0.413370997,0.427282989,0.407261014,0.417742014,2343320
23/06/17,0.417769015,0.480910003,0.408405006,0.480910003,3768560
24/06/17,0.482769012,0.635612011,0.482769012,0.512910008,19215500
25/06/17,0.514185011,0.525564015,0.454950988,0.470941007,5012890
26/06/17,0.470191985,0.473661989,0.351155996,0.402438015,9101080
27/06/17,0.411989003,0.420035005,0.353549004,0.392268986,4411090
28/06/17,0.399874002,0.399874002,0.357338011,0.379135996,4704400
29/06/17,0.375766993,0.459387004,0.361568004,0.417798012,5324020
30/06/17,0.417167008,0.453007996,0.398194999,0.401591003,5044270
01/07/17,0.402294993,0.414191991,0.381489009,0.38962999,2334640
02/07/17,0.391880006,0.396890014,0.366798013,0.382248998,2971770
03/07/17,0.379054993,0.384954989,0.356023997,0.376138985,3873180
04/07/17,0.374900013,0.410697997,0.373865008,0.396389991,3933710
05/07/17,0.396272987,0.400840998,0.371809006,0.380129993,3061100
06/07/17,0.380252987,0.382865012,0.317295015,0.353879988,8218370
07/07/17,0.355803013,0.355993986,0.27185899,0.284565002,8804780
08/07/17,0.286163986,0.32090801,0.281392992,0.305514991,3273950
09/07/17,0.29737699,0.312770009,0.285474986,0.302888989,2474500
10/07/17,0.304475993,0.304475993,0.190539002,0.217060998,8233640
11/07/17,0.214742005,0.231573999,0.185681,0.187595993,6946200
12/07/17,0.191125005,0.237361997,0.183954999,0.228758007,4646480
13/07/17,0.229099005,0.238625005,0.194249004,0.214589,4129150
14/07/17,0.212999001,0.214111999,0.161877006,0.175349995,3347860
15/07/17,0.175237,0.176099002,0.147933006,0.158687994,3913220
16/07/17,0.157960996,0.185444996,0.155173004,0.180978,4178170
17/07/17,0.180717006,0.278088003,0.179113999,0.263105005,15254300
18/07/17,0.264569014,0.309576988,0.248753995,0.267340004,11433600
19/07/17,0.268162012,0.284031004,0.230685994,0.232212007,6339730
20/07/17,0.233502999,0.298253,0.232191995,0.292459995,10332500
21/07/17,0.294759989,0.305505991,0.257625997,0.26413399,6344870
22/07/17,0.263390005,0.278935999,0.254406005,0.273382008,4107430
23/07/17,0.273692995,0.280241013,0.258484989,0.269071996,3065860
24/07/17,0.265136003,0.273467988,0.242731005,0.266447008,4502060
25/07/17,0.266826987,0.269071996,0.237997994,0.250452995,2917500
26/07/17,0.250571012,0.283477992,0.241237,0.274598002,4626790
27/07/17,0.276849985,0.285551012,0.275467008,0.275467008,3343540
28/07/17,0.274875998,0.278459013,0.262735993,0.265118003,2884740
29/07/17,0.266566992,0.277226001,0.245848,0.275189996,2788270
30/07/17,0.277339011,0.279401004,0.252831012,0.254785001,3165840
31/07/17,0.255064011,0.259810001,0.245767996,0.254732013,2563820
01/08/17,0.256664991,0.296267003,0.249623001,0.290219992,5169910
02/08/17,0.290134996,0.293038994,0.272031993,0.286116004,3439800
03/08/17,0.286578,0.336843997,0.284765005,0.332352012,8239810
04/08/17,0.332239002,0.420251995,0.332239002,0.391285986,20179000
05/08/17,0.393175989,0.427798003,0.364082992,0.407979995,9091140
06/08/17,0.407689989,0.440192997,0.396851003,0.431142002,6276510
07/08/17,0.430804014,0.491028011,0.418087989,0.47457701,14717700
08/08/17,0.473874003,0.550880015,0.458992004,0.547636986,21988500
09/08/17,0.547120988,0.555124998,0.51256597,0.543327987,13294400
10/08/17,0.535804987,0.588070989,0.513249993,0.56645602,16602500
11/08/17,0.565524995,0.710584998,0.557826996,0.654872,43618800
12/08/17,0.655191004,0.727959991,0.625521004,0.721535027,20358000
13/08/17,0.722168982,0.829530001,0.71538198,0.807712972,41198400
14/08/17,0.811738014,0.976404011,0.793681979,0.976404011,54630900
15/08/17,0.977320015,0.995791018,0.767235994,0.917949021,84698304
16/08/17,0.914726973,1.047600031,0.87856698,1.045210004,52081500
17/08/17,1.04479003,1.099869967,0.998241007,1.016059995,58209300
18/08/17,1.014230013,1.033990026,0.774399996,0.87014699,58053400
19/08/17,0.871580005,0.985747993,0.778132975,0.978520989,39975500
20/08/17,0.971221983,1.022899985,0.939619005,0.942205012,29447600
21/08/17,0.907423019,0.939166009,0.843577027,0.906269014,32558600
22/08/17,0.901777983,0.901777983,0.786258996,0.843774974,26333800
23/08/17,0.842517018,0.940388978,0.834667027,0.850371003,27418300
24/08/17,0.854043007,0.895101011,0.813880026,0.895101011,17132900
25/08/17,0.894733012,0.934651017,0.837866008,0.919634998,18226300
26/08/17,0.91592598,0.970067978,0.877885997,0.96221298,16623100
27/08/17,0.962058008,0.979088008,0.887364984,0.920351028,17816000
28/08/17,0.922464013,0.927742004,0.784779012,0.875196993,24288200
29/08/17,0.876891971,0.87757802,0.746405005,0.811960995,28538500
30/08/17,0.812776983,0.878202975,0.792339027,0.869647026,17428100
31/08/17,0.86955303,0.902073979,0.828224003,0.842423975,15194300
01/09/17,0.842867017,0.879100025,0.768118978,0.807778001,28047000
02/09/17,0.796559989,0.802464008,0.658006012,0.695546985,39333900
03/09/17,0.698854983,0.775862992,0.672850013,0.74396801,29504600
04/09/17,0.744256973,0.744256973,0.406794995,0.566471994,74601296
05/09/17,0.544131994,0.646085024,0.46894899,0.613084972,45817500
06/09/17,0.613529027,0.749171972,0.601484001,0.741662979,33093300
07/09/17,0.739668012,0.739668012,0.622366011,0.645757973,31377000
08/09/17,0.648248971,0.660257995,0.490346014,0.540475011,48691600
09/09/17,0.525938988,0.58396399,0.52482301,0.560809016,15317400
10/09/17,0.561303973,0.567870021,0.462834001,0.495606989,32733100
11/09/17,0.498380005,0.558273017,0.481498003,0.558273017,23660500
12/09/17,0.561695993,0.647193015,0.557296991,0.591948986,43345900
13/09/17,0.592512012,0.595366001,0.479348987,0.556819975,31807500
14/09/17,0.565841019,0.573629975,0.445019007,0.445019007,25946400
15/09/17,0.44569999,0.509332001,0.372595012,0.480509996,41983100
16/09/17,0.479384989,0.510361016,0.45323199,0.487239003,13452000
17/09/17,0.48475799,0.505874991,0.462614,0.497045994,7574760
18/09/17,0.496796012,0.612484992,0.496796012,0.606233001,28609000
19/09/17,0.608274996,0.61423099,0.555302978,0.565168023,12972000
20/09/17,0.559849024,0.585680008,0.543852985,0.566627026,8802430
21/09/17,0.567586005,0.569993019,0.467952996,0.500724018,18553300
22/09/17,0.499184996,0.517458022,0.476074994,0.506009996,8860800
23/09/17,0.507613003,0.551145017,0.494902998,0.541796029,8486720
24/09/17,0.540538013,0.541688025,0.506965995,0.521378994,9199830
25/09/17,0.524448991,0.566394985,0.524448991,0.556207001,10506400
26/09/17,0.55667001,0.560042977,0.507645011,0.515205026,14671500
27/09/17,0.514223993,0.554709017,0.507709026,0.551005006,12188400
28/09/17,0.549660981,0.614313006,0.528270006,0.595896006,23776300
29/09/17,0.59514302,0.609587014,0.543016016,0.584417999,16689800
30/09/17,0.584317982,0.646884024,0.57615,0.620822012,21825700
01/10/17,0.621749997,0.628776014,0.592742026,0.610183001,8576220
02/10/17,0.618179977,0.622089982,0.565055013,0.575398028,13928300
03/10/17,0.577181995,0.582044005,0.516038001,0.561712027,13709400
04/10/17,0.560853004,0.570545018,0.520098984,0.54698199,9152780
05/10/17,0.547393978,0.567734003,0.520702004,0.540915012,7592760
06/10/17,0.54321599,0.562671006,0.49328199,0.503448009,12478500
07/10/17,0.504487991,0.548718989,0.49061501,0.538528979,9848850
08/10/17,0.534649014,0.538525999,0.492875993,0.500032008,9637830
09/10/17,0.500356019,0.501909018,0.439523011,0.469437987,18097100
10/10/17,0.466452986,0.488516986,0.452722996,0.477575988,7401800
11/10/17,0.477028996,0.488967001,0.464756995,0.481463999,6996130
12/10/17,0.481734008,0.486223012,0.391481996,0.412416995,16792100
13/10/17,0.412853986,0.445984989,0.403912008,0.441594988,14821100
14/10/17,0.441807985,0.482836992,0.431502998,0.457836986,11493700
15/10/17,0.458649009,0.460505992,0.414703995,0.438428998,8256490
16/10/17,0.439698994,0.459618002,0.423750013,0.450655013,8128940
17/10/17,0.452051997,0.504408002,0.434911013,0.468463004,12590200
18/10/17,0.474620998,0.482291013,0.427958012,0.454575002,12433700
19/10/17,0.457195997,0.465952992,0.415102005,0.433387995,12250600
20/10/17,0.432862997,0.435638994,0.391629994,0.401912987,17771900
21/10/17,0.403854012,0.406504005,0.324360013,0.393045008,20120500
22/10/17,0.390836,0.411998987,0.381437987,0.392542005,9322400
23/10/17,0.391371012,0.399233997,0.364939988,0.386487007,12380800
24/10/17,0.389144003,0.50227797,0.377494007,0.453682005,47178400
25/10/17,0.455356002,0.473466992,0.430005014,0.443448007,14379600
26/10/17,0.443666011,0.45588699,0.411927998,0.417106986,10747100
27/10/17,0.416743994,0.439440995,0.395594001,0.423355013,8963410
28/10/17,0.424432993,0.428173006,0.391214997,0.395482987,9075000
29/10/17,0.395947009,0.413540989,0.367673993,0.403719991,15972200
30/10/17,0.403102994,0.415571004,0.385603011,0.409045994,9124580
31/10/17,0.407911986,0.408340007,0.390311986,0.390915006,7839910
01/11/17,0.390863001,0.390863001,0.35668999,0.363920003,11944600
02/11/17,0.370965987,0.380212992,0.320861995,0.366055995,20942000
03/11/17,0.362969995,0.396014988,0.358817011,0.393126011,11427900
04/11/17,0.391326994,0.391546011,0.365428001,0.368642986,8568260
05/11/17,0.367915004,0.370909989,0.335193992,0.350084007,12950500
06/11/17,0.351011008,0.378776997,0.338867009,0.373939008,13258400
07/11/17,0.371508986,0.397608012,0.362284005,0.383096009,15415700
08/11/17,0.384301007,0.488848001,0.381924987,0.475924999,44738600
