Date,Open,High,Low,Close,Volume
26-02-15,1.210420012,1.21231997,1.194710016,1.205739975,5.955460072
02-03-15,0.571249008,0.60789001,0.568314016,0.606501997,3.032500029
03-03-15,0.605129004,0.606229007,0.604416013,0.606229007,3.031130075
06-03-15,1,1,1,1,92.64720154
07-03-15,1,1,1,1,58196.80078
08-03-15,1,1,1,1,31.13940048
09-03-15,1,1,1,1,142.996994
10-03-15,1,1,1,1,49996.69922
11-03-15,1,1,1,1,49.31069946
12-03-15,1,1,1,1,80418.29688
13-03-15,1,1,1,1,75.27570343
14-03-15,1,1,1,1,17705.09961
15-03-15,1,1,1,1,15124.5
16-03-15,1,1,1,1,49631.5
17-03-15,1,1,1,1,4284.02002
18-03-15,1,1,1,1,202.3430023
19-03-15,1,1,1,1,713.9470215
20-03-15,1,1,1,1,132.727005
21-03-15,1,1,1,1,206.2680054
22-03-15,1,1,1,1,66.68250275
23-03-15,1,1,1,1,65.83820343
24-03-15,1,1,1,1,1179.439941
25-03-15,1,1,1,1,92.35220337
26-03-15,1,1,1,1,2.308099985
27-03-15,1,1,1,1,4.794929981
28-03-15,1,1,1,1,17.04400063
29-03-15,1,1,1,1,20.63769913
30-03-15,1,1,1,1,494.7019958
31-03-15,1,1,1,1,37.05210114
01-04-15,1,1,1,1,14.48700047
02-04-15,1,1,1,1,79969.89844
03-04-15,1,1,1,1,8887.169922
04-04-15,1,1,1,1,2018.25
05-04-15,1,1,1,1,2887.050049
06-04-15,1,1,1,1,254.3000031
07-04-15,1,1,1,1,19179
08-04-15,1,1,1,1,1024.199951
09-04-15,1,1,1,1,100949
10-04-15,1,1,1,1,470.2340088
11-04-15,1,1,1,1,2868.800049
12-04-15,1,1,1,1,1970.790039
13-04-15,1,1,1,1,46026
14-04-15,1,1,1,1,50323.80078
15-04-15,1,1,1,1,40700.19922
16-04-15,1,1,1,1,46909.19922
17-04-15,1,1,1,1,50.48160172
18-04-15,1,1,1,1,48.97309875
19-04-15,1,1,1,1,21.92639923
20-04-15,1,1,1,1,38.26399994
21-04-15,1,1,1,1,85932.70313
22-04-15,1,1,1,1,40305.60156
23-04-15,1,1,1,1,21632
24-04-15,1,1,1,1,20261.80078
25-04-15,1,1,1,1,26.46229935
26-04-15,1,1,1,1,555.4370117
27-04-15,1,1,1,1,17806.19922
28-04-15,1,1,1,1,42628.10156
29-04-15,1,1,1,1,12.18630028
30-04-15,1,1,1,1,613.0689697
01-05-15,1,1,1,1,48.37969971
02-05-15,1,1,1,1,3.993489981
03-05-15,1,1,1,1,1517.869995
04-05-15,1,1,1,1,83170.79688
05-05-15,1,1,1,1,21.42860031
06-05-15,1,1,1,1,10.18809986
07-05-15,1,1,1,1,120.4769974
08-05-15,1,1,1,1,545.5029907
09-05-15,1,1,1,1,170.7660065
10-05-15,1,1,1,1,2466.129883
11-05-15,1,1,1,1,583.8309937
12-05-15,1,1,1,1,5.220890045
13-05-15,1,1,1,1,0.110496998
14-05-15,1,1,1,1,2184.610107
15-05-15,1,1,1,1,92.11949921
16-05-15,1,1,1,1,297.447998
17-05-15,1,1,1,1,682.9249878
18-05-15,1,1,1,1,31.38680077
19-05-15,1,1,1,1,25358.69922
20-05-15,1,1,1,1,21978.90039
21-05-15,1,1,1,1,53849.10156
22-05-15,1,1,1,1,20209.30078
23-05-15,1,1,1,1,30.01650047
24-05-15,1,1,1,1,5381.640137
25-05-15,1,1,1,1,2845.860107
26-05-15,1,1,1,1,1243.75
27-05-15,1,1,1,1,28001.69922
28-05-15,1,1,1,1,70611.5
29-05-15,1,1,1,1,16640.40039
30-05-15,1,1,1,1,12447.90039
31-05-15,1,1,1,1,2522.379883
01-06-15,1,1,1,1,40887.39844
02-06-15,1,1,1,1,75455.70313
03-06-15,1,1,1,1,24994.19922
04-06-15,1,1,1,1,151.8430023
05-06-15,1,1,1,1,21.51119995
06-06-15,1,1,1,1,30.22249985
07-06-15,1,1,1,1,1547.449951
08-06-15,1,1,1,1,126.1569977
09-06-15,1,1,1,1,323.2120056
10-06-15,1,1,1,1,45550.89844
11-06-15,1,1,1,1,50162.39844
12-06-15,1,1,1,1,41981
13-06-15,1,1,1,1,1635.930054
14-06-15,1,1,1,1,1348.709961
15-06-15,1,1,1,1,262077
16-06-15,1,1,1,1,204282
17-06-15,1,1,1,1,7822.330078
18-06-15,1,1,1,1,33803.60156
19-06-15,1,1,1,1,10983.2002
20-06-15,1,1,1,1,2423.97998
21-06-15,1,1,1,1,370.8779907
22-06-15,1,1,1,1,403.5610046
23-06-15,1,1,1,1,19972.69922
24-06-15,1,1,1,1,633456
25-06-15,1,1,1,1,63844.80078
26-06-15,1,1,1,1,3128.969971
27-06-15,1,1,1,1,668536
28-06-15,1,1,1,1,409.4400024
29-06-15,1,1,1,1,3121.379883
30-06-15,1,1,1,1,472575
01-07-15,1,1,1,1,110325
02-07-15,1,1,1,1,1436.390015
03-07-15,1,1,1,1,14061.2998
04-07-15,1,1,1,1,100.0220032
05-07-15,1,1,1,1,8107.279785
06-07-15,1,1,1,1,652389
07-07-15,1,1,1,1,34946.10156
08-07-15,1,1,1,1,1632.579956
09-07-15,1,1,1,1,516.1849976
10-07-15,1,1,1,1,1065.390015
11-07-15,1,1,1,1,1621.97998
12-07-15,1,1,1,1,3187.449951
13-07-15,1,1,1,1,242557
14-07-15,1,1,1,1,31441.69922
15-07-15,1,1,1,1,1131.719971
16-07-15,1,1,1,1,33531.89844
17-07-15,1,1,1,1,665897
18-07-15,1,1,1,1,50531.80078
19-07-15,1,1,1,1,2708.939941
20-07-15,1,1,1,1,658.7800293
21-07-15,1,1,1,1,5796.419922
22-07-15,1,1,1,1,506.5499878
23-07-15,1,1,1,1,4233.580078
24-07-15,1,1,1,1,32139.80078
25-07-15,1,1,1,1,521.3359985
26-07-15,1,1,1,1,24.99970055
27-07-15,1,1,1,1,2250.850098
28-07-15,1,1,1,1,50302.69922
29-07-15,1,1,1,1,404935
30-07-15,1,1,1,1,28284.69922
31-07-15,1,1,1,1,110.2779999
01-08-15,1,1,1,1,1765.73999
02-08-15,1,1,1,1,4443.419922
03-08-15,1,1,1,1,258279
04-08-15,1,1,1,1,4182.049805
05-08-15,1,1,1,1,11013.2998
06-08-15,1,1,1,1,15978.7002
07-08-15,1,1,1,1,189055
08-08-15,1,1,1,1,2229.169922
09-08-15,1,1,1,1,656.8989868
10-08-15,1,1,1,1,152265
11-08-15,1,1,1,1,526.4130249
12-08-15,1,1,1,1,1602.339966
13-08-15,1,1,1,1,1521.349976
14-08-15,1,1,1,1,2346.280029
15-08-15,1,1,1,1,4232.470215
16-08-15,1,1,1,1,1643.819946
17-08-15,1,1,1,1,20941.59961
18-08-15,1,1,1,1,65245.5
19-08-15,1,1,1,1,157207
20-08-15,1,1,1,1,2840.850098
21-08-15,1,1,1,1,5956.620117
22-08-15,1,1,1,1,1296.329956
23-08-15,1,1,1,1,2274.5
24-08-15,1,1,1,1,73636.79688
25-08-15,1,1,1,1,433444
26-08-15,1,1,1,1,1643.050049
27-08-15,1,1,1,1,2445.860107
28-08-15,1,1,1,1,6212.609863
29-08-15,1,1,1,1,1207.47998
30-08-15,1,1,1,1,3319.169922
31-08-15,1,1,1,1,7021.689941
01-09-15,1,1,1,1,6135.620117
02-09-15,1,1,1,1,1710.040039
03-09-15,1,1,1,1,889.6329956
04-09-15,1,1,1,1,672.1329956
05-09-15,1,1,1,1,13466.7998
06-09-15,1,1,1,1,17950.5
07-09-15,1,1,1,1,22316
08-09-15,1,1,1,1,2962.649902
09-09-15,1,1,1,1,106307
10-09-15,1,1,1,1,9264.549805
11-09-15,1,1,1,1,29212.80078
12-09-15,1,1,1,1,4331.169922
13-09-15,1,1,1,1,695.7030029
14-09-15,1,1,1,1,227.951004
15-09-15,1,1,1,1,71981.79688
16-09-15,1,1,1,1,52821.10156
17-09-15,1,1,1,1,28268
18-09-15,1,1,1,1,15623.5
19-09-15,1,1,1,1,820.973999
20-09-15,1,1,1,1,112.4769974
21-09-15,1,1,1,1,9470.169922
22-09-15,1,1,1,1,19998.30078
23-09-15,1,1,1,1,5751.470215
24-09-15,1,1,1,1,103489
25-09-15,1,1,1,1,608.1610107
26-09-15,1,1,1,1,528.2260132
27-09-15,1,1,1,1,1997.579956
28-09-15,1,1,1,1,394927
29-09-15,1,1,1,1,419071
30-09-15,1,1,1,1,142982
01-10-15,1,1,1,1,178994
02-10-15,1,1,1,1,14618.7998
03-10-15,1,1,1,1,368077
04-10-15,1,1,1,1,3458.959961
05-10-15,1,1,1,1,17653.59961
06-10-15,1,1,1,1,55914
07-10-15,1,1,1,1,8055.109863
08-10-15,1,1,1,1,5197.359863
09-10-15,1,1,1,1,1830.040039
10-10-15,1,1,1,1,116.6529999
11-10-15,1,1,1,1,47945.80078
12-10-15,1,1,1,1,25978.19922
13-10-15,1,1,1,1,122426
14-10-15,1,1,1,1,10377.5
15-10-15,1,1,1,1,98815.39844
16-10-15,1,1,1,1,37796.19922
17-10-15,1,1,1,1,3696.639893
18-10-15,1,1,1,1,3108.149902
19-10-15,1,1,1,1,6588.850098
20-10-15,1,1,1,1,30334.80078
21-10-15,1,1,1,1,42472.39844
22-10-15,1,1,1,1,76060.70313
23-10-15,1,1,1,1,115132
24-10-15,1,1,1,1,73679.29688
25-10-15,1,1,1,1,191596
26-10-15,1,1,1,1,40692.39844
27-10-15,1,1,1,1,51399.60156
28-10-15,1,1,1,1,64487.80078
29-10-15,1,1,1,1,227491
30-10-15,1,1,1,1,26909.09961
31-10-15,1,1,1,1,26367.30078
01-11-15,1,1,1,1,4505.600098
02-11-15,1,1,1,1,15844.5
03-11-15,1,1,1,1,90103
04-11-15,1,1,1,1,181021
05-11-15,1,1,1,1,226537
06-11-15,1,1,1,1,372540
07-11-15,1,1,1,1,999501
08-11-15,1,1,1,1,143097
09-11-15,1,1,1,1,18567.80078
10-11-15,1,1,1,1,14721.59961
11-11-15,1,1,1,1,34324
12-11-15,1,1,1,1,34993.60156
13-11-15,1,1,1,1,49616.80078
14-11-15,1,1,1,1,28995.30078
15-11-15,1,1,1,1,33393.19922
16-11-15,1,1,1,1,10552.90039
17-11-15,1,1,1,1,25692.90039
18-11-15,1,1,1,1,6058.27002
19-11-15,1,1,1,1,18890.5
20-11-15,1,1,1,1,10002.5
21-11-15,1,1,1,1,6455.950195
22-11-15,1,1,1,1,5443.27002
23-11-15,1,1,1,1,25499
24-11-15,1,1,1,1,11121.2998
25-11-15,1,1,1,1,6874.560059
26-11-15,1,1,1,1,20800
27-11-15,1,1,1,1,8252.790039
28-11-15,1,1,1,1,22508.30078
29-11-15,1,1,1,1,134696
30-11-15,1,1,1,1,659724
01-12-15,1,1,0.999993026,0.999993026,129772
02-12-15,0.99999398,1,0.999988019,1,195747
03-12-15,1,1,1,1,141337
04-12-15,1,1,1,1,7737.740234
05-12-15,1,1,1,1,21567.90039
06-12-15,1,1,1,1,220143
07-12-15,1,1,1,1,11223.90039
08-12-15,1,1.000159979,1,1.000159979,9503.959961
09-12-15,1.000169992,1.000390053,1,1.000079989,17421.19922
